No,Tahun Beli,Nama Aset,Jumlah,Harga Rp,Gambar,Posisi PIC,Keterangan
1,2020,Kursi,xxxxx,Rp0.00,img/aset/kursi_rt.jpg,Gudang Pos RT,Update
2,2020,Tenda,1set,Rp0.00,img/aset/tenda_rt.jpg,Gudang Pos RT,Perawatan
3,2024,Speaker Aktif,xxxxx,Rp0.00,img/aset/speaker_rt.jpg,Seksi Perlengkapan,Update
4,2022,HT,xxxxx,Rp0.00,img/aset/ht_rt.jpg,Seksi Perlengkapan,Update
5,2024,Mesin Pemotong Rumput,xxxxx,Rp0.00,img/aset/mesinpotong_rt.jpg,Gudang Pos RT,Update
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
